Gene,Program_Dataset
RAMP2,2_Braga_2019_health
KANK1,2_Braga_2019_health
IZUMO4,2_Braga_2019_health
PIEZO2,2_Braga_2019_health
AGR2,2_Braga_2019_health
ARHGAP42,2_Braga_2019_health
MAP1B,2_Braga_2019_health
SLC34A2,2_Braga_2019_health
FSTL1,2_Braga_2019_health
SCML4,2_Braga_2019_health
ITGB6,2_Braga_2019_health
MMRN1,2_Braga_2019_health
CES1,3_Braga_2019_health
AKR1C3,3_Braga_2019_health
FABP5,3_Braga_2019_health
CD52,3_Braga_2019_health
VSIG4,3_Braga_2019_health
HPGD,3_Braga_2019_health
TXN,3_Braga_2019_health
ALAS1,3_Braga_2019_health
TNNT1,3_Braga_2019_health
FOLR3,3_Braga_2019_health
TEX14,3_Braga_2019_health
JAKMIP2,3_Braga_2019_health
FCGR1A,3_Braga_2019_health
DCSTAMP,3_Braga_2019_health
LRPAP1,3_Braga_2019_health
MGST3,3_Braga_2019_health
GLRX,3_Braga_2019_health
CLDN7,3_Braga_2019_health
OAS1,3_Braga_2019_health
C1orf228,3_Braga_2019_health
NT5C3A,3_Braga_2019_health
LIMA1,3_Braga_2019_health
SUCNR1,3_Braga_2019_health
L1TD1,3_Braga_2019_health
DECR1,3_Braga_2019_health
AMIGO2,3_Braga_2019_health
TRHDE,3_Braga_2019_health
ANGPT2,3_Braga_2019_health
FCGR1B,3_Braga_2019_health
RAPGEF4,3_Braga_2019_health
TRPV2,3_Braga_2019_health
APIP,3_Braga_2019_health
SAMD9L,3_Braga_2019_health
HDDC2,3_Braga_2019_health
BEX4,3_Braga_2019_health
HES6,3_Braga_2019_health
PTPMT1,3_Braga_2019_health
DHFR,3_Braga_2019_health
CD101,3_Braga_2019_health
TRPC6,3_Braga_2019_health
EPB41L4A,3_Braga_2019_health
SP140,3_Braga_2019_health
ZNF141,3_Braga_2019_health
LRRC75A,3_Braga_2019_health
APOL2,3_Braga_2019_health
DDX58,3_Braga_2019_health
LINC00685,3_Braga_2019_health
DPEP2,3_Braga_2019_health
PCED1B,3_Braga_2019_health
MBNL1-AS1,3_Braga_2019_health
PDCD1LG2,3_Braga_2019_health
GSTM4,3_Braga_2019_health
PRR15,3_Braga_2019_health
KPTN,3_Braga_2019_health
TMEM261,3_Braga_2019_health
ARL4A,3_Braga_2019_health
SAMM50,3_Braga_2019_health
S1PR1,3_Braga_2019_health
CYSLTR1,3_Braga_2019_health
P4HA2,3_Braga_2019_health
TSPAN32,3_Braga_2019_health
PGM1,3_Braga_2019_health
LRIF1,3_Braga_2019_health
TMED3,3_Braga_2019_health
TAPBPL,3_Braga_2019_health
C1GALT1C1,3_Braga_2019_health
CLEC12A,3_Braga_2019_health
TGFB2,3_Braga_2019_health
NEFH,3_Braga_2019_health
LIN7A,3_Braga_2019_health
SLC1A4,3_Braga_2019_health
PDE4DIP,3_Braga_2019_health
ICAM2,3_Braga_2019_health
YARS2,3_Braga_2019_health
ADAM12,3_Braga_2019_health
SIGLEC11,3_Braga_2019_health
SERPINI1,3_Braga_2019_health
EPB41L4A-AS1,3_Braga_2019_health
MLKL,3_Braga_2019_health
TNRC6C,3_Braga_2019_health
NFU1,3_Braga_2019_health
ZNF880,3_Braga_2019_health
ARSA,3_Braga_2019_health
COA6,3_Braga_2019_health
TECR,3_Braga_2019_health
AKIRIN2,3_Braga_2019_health
TRAP1,3_Braga_2019_health
FAHD1,3_Braga_2019_health
BTN2A2,3_Braga_2019_health
TKT,3_Braga_2019_health
LUZP1,3_Braga_2019_health
SLC7A7,3_Braga_2019_health
PSMA6,3_Braga_2019_health
NDUFA4,3_Braga_2019_health
SEPHS2,3_Braga_2019_health
EMC3,3_Braga_2019_health
FBXO5,3_Braga_2019_health
S100A12,4_Braga_2019_health
G0S2,4_Braga_2019_health
IL1B,4_Braga_2019_health
FSCN1,4_Braga_2019_health
AREG,4_Braga_2019_health
S100A8,4_Braga_2019_health
APOBEC3A,4_Braga_2019_health
FCN1,4_Braga_2019_health
PLA2G7,4_Braga_2019_health
S100A9,4_Braga_2019_health
OSM,4_Braga_2019_health
EREG,4_Braga_2019_health
CYP1B1,4_Braga_2019_health
VCAN,4_Braga_2019_health
IER3,4_Braga_2019_health
ADM,4_Braga_2019_health
DUSP2,4_Braga_2019_health
DDIT4,4_Braga_2019_health
THBS1,4_Braga_2019_health
NLRP3,4_Braga_2019_health
RNASE2,4_Braga_2019_health
PLK2,4_Braga_2019_health
CLEC4E,4_Braga_2019_health
BASP1,4_Braga_2019_health
LRG1,4_Braga_2019_health
CREM,4_Braga_2019_health
CDA,4_Braga_2019_health
VNN1,4_Braga_2019_health
PIM1,4_Braga_2019_health
ICAM3,4_Braga_2019_health
PHLDB2,4_Braga_2019_health
HEY1,4_Braga_2019_health
GZMA,4_Braga_2019_health
VEGFA,4_Braga_2019_health
TUBA4A,4_Braga_2019_health
SOCS3,4_Braga_2019_health
RBP7,4_Braga_2019_health
CREB5,4_Braga_2019_health
LUCAT1,4_Braga_2019_health
SLC2A3,4_Braga_2019_health
PPIF,4_Braga_2019_health
CDKN1A,4_Braga_2019_health
MXD1,4_Braga_2019_health
SLC25A37,4_Braga_2019_health
ASGR2,4_Braga_2019_health
SAMSN1,4_Braga_2019_health
MCTP2,4_Braga_2019_health
EHD1,4_Braga_2019_health
PADI4,4_Braga_2019_health
HLX,4_Braga_2019_health
HPSE,4_Braga_2019_health
CD3G,4_Braga_2019_health
FYN,4_Braga_2019_health
DNAH17,4_Braga_2019_health
LMNB1,4_Braga_2019_health
PDE4D,4_Braga_2019_health
CLEC4D,4_Braga_2019_health
PRKAG2-AS1,4_Braga_2019_health
CYB5D1,4_Braga_2019_health
GOLM1,4_Braga_2019_health
AMPD3,4_Braga_2019_health
P2RY8,4_Braga_2019_health
CA4,4_Braga_2019_health
BCL3,4_Braga_2019_health
VSTM1,4_Braga_2019_health
CD300LB,4_Braga_2019_health
F5,4_Braga_2019_health
TMEM2,4_Braga_2019_health
NAMPT,4_Braga_2019_health
METTL9,4_Braga_2019_health
RNF19B,4_Braga_2019_health
STK17A,4_Braga_2019_health
SLC2A14,4_Braga_2019_health
TNFSF8,4_Braga_2019_health
ZNF467,4_Braga_2019_health
TMEM71,4_Braga_2019_health
IPCEF1,4_Braga_2019_health
LINC00937,4_Braga_2019_health
MMP25,4_Braga_2019_health
NFKB2,4_Braga_2019_health
PLEKHG2,4_Braga_2019_health
FLRT2,4_Braga_2019_health
GRAMD1A,4_Braga_2019_health
PAPD5,4_Braga_2019_health
HSPA4L,4_Braga_2019_health
NFE2,4_Braga_2019_health
KRT15,4_Braga_2019_health
PXN,4_Braga_2019_health
DYNLRB2,4_Braga_2019_health
CCL2,5_Braga_2019_health
SEPP1,5_Braga_2019_health
FCGBP,5_Braga_2019_health
SLC40A1,5_Braga_2019_health
RNASE1,5_Braga_2019_health
PLTP,5_Braga_2019_health
FOLR2,5_Braga_2019_health
LGMN,5_Braga_2019_health
F13A1,5_Braga_2019_health
LYVE1,5_Braga_2019_health
TNIP3,5_Braga_2019_health
TMEM176A,5_Braga_2019_health
A2M,5_Braga_2019_health
STAB1,5_Braga_2019_health
C5AR2,5_Braga_2019_health
MARCKS,5_Braga_2019_health
LILRB5,5_Braga_2019_health
CD163L1,5_Braga_2019_health
ABCA6,5_Braga_2019_health
ENPP2,5_Braga_2019_health
ABCA1,5_Braga_2019_health
SMPDL3A,5_Braga_2019_health
ITSN1,5_Braga_2019_health
EGFL7,5_Braga_2019_health
KLRD1,5_Braga_2019_health
SLC18B1,5_Braga_2019_health
SDC3,5_Braga_2019_health
CD209,5_Braga_2019_health
GFRA2,5_Braga_2019_health
C1orf21,5_Braga_2019_health
FBN1,5_Braga_2019_health
GAS6,5_Braga_2019_health
IL21R,5_Braga_2019_health
FGFR1,5_Braga_2019_health
FAM20A,5_Braga_2019_health
POMC,5_Braga_2019_health
LMCD1,5_Braga_2019_health
MAF,5_Braga_2019_health
PARM1,5_Braga_2019_health
ATP2B4,5_Braga_2019_health
WLS,5_Braga_2019_health
FAM118A,5_Braga_2019_health
TFDP2,5_Braga_2019_health
PTMS,5_Braga_2019_health
GPR155,5_Braga_2019_health
PMEPA1,5_Braga_2019_health
RELB,5_Braga_2019_health
H2AFX,5_Braga_2019_health
CYBRD1,5_Braga_2019_health
CEACAM3,5_Braga_2019_health
FMN1,5_Braga_2019_health
ZDHHC14,5_Braga_2019_health
CACNA2D4,5_Braga_2019_health
PLA2G4C,5_Braga_2019_health
CCDC152,5_Braga_2019_health
FAM210A,5_Braga_2019_health
BCAT1,5_Braga_2019_health
TMEM52B,5_Braga_2019_health
CDC42EP4,5_Braga_2019_health
ZEB2-AS1,5_Braga_2019_health
P2RY1,5_Braga_2019_health
FCRLB,5_Braga_2019_health
TNFRSF25,5_Braga_2019_health
TPCN1,5_Braga_2019_health
HEMK1,5_Braga_2019_health
LAMC2,5_Braga_2019_health
ERMN,5_Braga_2019_health
CCL18,6_Braga_2019_health
CXCL5,6_Braga_2019_health
FABP3,6_Braga_2019_health
RBP4,6_Braga_2019_health
APOE,6_Braga_2019_health
CA2,6_Braga_2019_health
RND3,6_Braga_2019_health
SCD,6_Braga_2019_health
INHBA,6_Braga_2019_health
AGRP,6_Braga_2019_health
CSF1,6_Braga_2019_health
IGFBP2,6_Braga_2019_health
DNASE2B,6_Braga_2019_health
TGM2,6_Braga_2019_health
LPL,6_Braga_2019_health
GPD1,6_Braga_2019_health
IL1A,6_Braga_2019_health
ACOT7,6_Braga_2019_health
SPOCD1,6_Braga_2019_health
FHL1,6_Braga_2019_health
ACP5,6_Braga_2019_health
DNAJC5B,6_Braga_2019_health
VGLL3,6_Braga_2019_health
CTSD,6_Braga_2019_health
ATP6V0D2,6_Braga_2019_health
OLFML3,6_Braga_2019_health
ABCG1,6_Braga_2019_health
GLDN,6_Braga_2019_health
AXL,6_Braga_2019_health
PHLDA3,6_Braga_2019_health
ADTRP,6_Braga_2019_health
PROCR,6_Braga_2019_health
MLPH,6_Braga_2019_health
AOC3,6_Braga_2019_health
KLHDC8B,6_Braga_2019_health
ITGB8,6_Braga_2019_health
MACC1,6_Braga_2019_health
RGCC,6_Braga_2019_health
FFAR4,6_Braga_2019_health
LSAMP,6_Braga_2019_health
UBASH3B,6_Braga_2019_health
GMPR,6_Braga_2019_health
HSD17B14,6_Braga_2019_health
TTC39B,6_Braga_2019_health
ACKR3,6_Braga_2019_health
ALPK3,6_Braga_2019_health
PAQR5,6_Braga_2019_health
MYO6,6_Braga_2019_health
ODF3L1,6_Braga_2019_health
STAC,6_Braga_2019_health
SULT1C2,6_Braga_2019_health
FSTL3,6_Braga_2019_health
TMEM74B,6_Braga_2019_health
KCNA3,6_Braga_2019_health
ACVRL1,6_Braga_2019_health
IQSEC3,6_Braga_2019_health
CHDH,6_Braga_2019_health
BCAR1,6_Braga_2019_health
CRIM1,6_Braga_2019_health
MMD,6_Braga_2019_health
VAT1,6_Braga_2019_health
MGAT3,6_Braga_2019_health
TMEM14A,6_Braga_2019_health
KCNK6,6_Braga_2019_health
GALNS,6_Braga_2019_health
DIXDC1,6_Braga_2019_health
SLC25A25,6_Braga_2019_health
ZMAT3,6_Braga_2019_health
EPDR1,6_Braga_2019_health
ME3,6_Braga_2019_health
ARHGAP10,6_Braga_2019_health
ARHGEF5,6_Braga_2019_health
SOWAHD,6_Braga_2019_health
P2RX4,6_Braga_2019_health
IFNLR1,6_Braga_2019_health
RASSF8-AS1,6_Braga_2019_health
CD109,6_Braga_2019_health
C12orf49,6_Braga_2019_health
FAT3,6_Braga_2019_health
SAMD4A,6_Braga_2019_health
PSEN2,6_Braga_2019_health
AMDHD2,6_Braga_2019_health
RYR1,6_Braga_2019_health
NAGLU,6_Braga_2019_health
C7,6_Braga_2019_health
FAM109A,6_Braga_2019_health
PCYT2,6_Braga_2019_health
SERPINB10,6_Braga_2019_health
TMCO2,6_Braga_2019_health
KNSTRN,6_Braga_2019_health
LONRF1,6_Braga_2019_health
SLC15A3,6_Braga_2019_health
ANKRD9,6_Braga_2019_health
KIAA0930,6_Braga_2019_health
ZNF415,6_Braga_2019_health
CCR7,7_Braga_2019_health
GZMB,7_Braga_2019_health
LTB,7_Braga_2019_health
SPIB,7_Braga_2019_health
C12orf75,7_Braga_2019_health
SERPINF1,7_Braga_2019_health
SLAMF7,7_Braga_2019_health
PLD4,7_Braga_2019_health
CXCR3,7_Braga_2019_health
IRF4,7_Braga_2019_health
TSPAN13,7_Braga_2019_health
MZB1,7_Braga_2019_health
DERL3,7_Braga_2019_health
LILRA4,7_Braga_2019_health
RASD1,7_Braga_2019_health
EGLN3,7_Braga_2019_health
ITM2C,7_Braga_2019_health
MYBL2,7_Braga_2019_health
CLEC4C,7_Braga_2019_health
LAMP5,7_Braga_2019_health
FLT3,7_Braga_2019_health
MAP1A,7_Braga_2019_health
UGCG,7_Braga_2019_health
IRF7,7_Braga_2019_health
PTCRA,7_Braga_2019_health
GZMH,7_Braga_2019_health
SMPD3,7_Braga_2019_health
BCL11A,7_Braga_2019_health
MCOLN2,7_Braga_2019_health
BEX2,7_Braga_2019_health
PIM2,7_Braga_2019_health
HIST1H1D,7_Braga_2019_health
SCN9A,7_Braga_2019_health
BNIP3,7_Braga_2019_health
SIT1,7_Braga_2019_health
SLC20A1,7_Braga_2019_health
GNG7,7_Braga_2019_health
C1orf186,7_Braga_2019_health
SULF2,7_Braga_2019_health
CYB561A3,7_Braga_2019_health
SLC2A1,7_Braga_2019_health
PPP1R14B,7_Braga_2019_health
RUFY4,7_Braga_2019_health
IKZF3,7_Braga_2019_health
PTPRS,7_Braga_2019_health
ETS1,7_Braga_2019_health
CDCA7L,7_Braga_2019_health
NOTCH4,7_Braga_2019_health
ZNF296,7_Braga_2019_health
GUCY1A3,7_Braga_2019_health
NAALADL1,7_Braga_2019_health
IGFLR1,7_Braga_2019_health
PPP1R14C,7_Braga_2019_health
TTYH2,7_Braga_2019_health
BLNK,7_Braga_2019_health
TRAF4,7_Braga_2019_health
TNFSF9,7_Braga_2019_health
CDH26,7_Braga_2019_health
TMEM8B,7_Braga_2019_health
CHRDL1,7_Braga_2019_health
AP1S3,7_Braga_2019_health
ZNF462,7_Braga_2019_health
ZNF675,7_Braga_2019_health
CRYM,7_Braga_2019_health
POC1A,7_Braga_2019_health
CH25H,8_Braga_2019_health
HPGDS,8_Braga_2019_health
DNAAF1,8_Braga_2019_health
MGLL,8_Braga_2019_health
CLU,8_Braga_2019_health
ZNF331,8_Braga_2019_health
SLC18A2,8_Braga_2019_health
SPRY1,8_Braga_2019_health
FPR2,8_Braga_2019_health
CD200,8_Braga_2019_health
PHGDH,8_Braga_2019_health
EMP2,8_Braga_2019_health
FLT1,8_Braga_2019_health
CD93,8_Braga_2019_health
DCN,8_Braga_2019_health
CMPK2,8_Braga_2019_health
NT5E,8_Braga_2019_health
CACNB3,8_Braga_2019_health
SLC29A1,8_Braga_2019_health
PSME4,8_Braga_2019_health
RDX,8_Braga_2019_health
IDI1,8_Braga_2019_health
FAM20C,8_Braga_2019_health
LDHD,8_Braga_2019_health
RHOBTB3,8_Braga_2019_health
TMEM14A,8_Braga_2019_health
CALM3,8_Braga_2019_health
DNMT1,8_Braga_2019_health
UAP1,8_Braga_2019_health
MAP1LC3A,8_Braga_2019_health
TANC2,8_Braga_2019_health
TSC22D2,8_Braga_2019_health
NINJ2,8_Braga_2019_health
SPTAN1,8_Braga_2019_health
PROX1,8_Braga_2019_health
TP53I11,8_Braga_2019_health
FGD2,8_Braga_2019_health
MET,8_Braga_2019_health
ATP13A3,8_Braga_2019_health
GTF2IRD1,8_Braga_2019_health
LAYN,8_Braga_2019_health
CNN2,8_Braga_2019_health
CRYL1,8_Braga_2019_health
EFNA1,8_Braga_2019_health
TIMP3,9_Braga_2019_health
FOLR1,9_Braga_2019_health
FAM213A,9_Braga_2019_health
TPX2,9_Braga_2019_health
TCEA3,9_Braga_2019_health
FAM65B,9_Braga_2019_health
LUM,9_Braga_2019_health
SVIL,9_Braga_2019_health
LDLR,9_Braga_2019_health
SIGLEC1,9_Braga_2019_health
IL27,9_Braga_2019_health
HIST3H2A,9_Braga_2019_health
TDP2,9_Braga_2019_health
GSTM3,9_Braga_2019_health
ANOS1,9_Braga_2019_health
CALCRL,9_Braga_2019_health
CRADD,9_Braga_2019_health
HIST1H2BD,9_Braga_2019_health
BCL7A,9_Braga_2019_health
HMOX2,9_Braga_2019_health
ETHE1,9_Braga_2019_health
AOC2,9_Braga_2019_health
FAM110B,9_Braga_2019_health
AGER,9_Braga_2019_health
EPS8,9_Braga_2019_health
LMO7,9_Braga_2019_health
SNHG7,9_Braga_2019_health
CFH,9_Braga_2019_health
USP1,9_Braga_2019_health
ENPP5,9_Braga_2019_health
FAM129B,9_Braga_2019_health
ANKRD36C,9_Braga_2019_health
MRPL18,9_Braga_2019_health
AUTS2,9_Braga_2019_health
FGFR2,9_Braga_2019_health
TPM1,9_Braga_2019_health
TM7SF2,9_Braga_2019_health
UROD,9_Braga_2019_health
ATP9A,9_Braga_2019_health
AGR3,9_Braga_2019_health
GSTA1,9_Braga_2019_health
IGBP1,9_Braga_2019_health
AKAP12,10_Braga_2019_health
IL32,10_Braga_2019_health
SPARC,10_Braga_2019_health
LYVE1,10_Braga_2019_health
BAG3,10_Braga_2019_health
MGP,10_Braga_2019_health
TPM2,10_Braga_2019_health
DHRS9,10_Braga_2019_health
COL6A1,10_Braga_2019_health
DNAJA4,10_Braga_2019_health
SOCS1,10_Braga_2019_health
CXCL12,10_Braga_2019_health
CXADR,10_Braga_2019_health
OPTN,10_Braga_2019_health
TOB1,10_Braga_2019_health
P2RY6,10_Braga_2019_health
GCH1,10_Braga_2019_health
IGFBP5,10_Braga_2019_health
TPPP3,10_Braga_2019_health
EZH2,10_Braga_2019_health
TSPAN3,10_Braga_2019_health
PSTPIP2,10_Braga_2019_health
ORC6,10_Braga_2019_health
KRT19,10_Braga_2019_health
ELF3,10_Braga_2019_health
CYR61,10_Braga_2019_health
CP,10_Braga_2019_health
LTV1,10_Braga_2019_health
ZFY,10_Braga_2019_health
SLA2,10_Braga_2019_health
GABPB1-AS1,10_Braga_2019_health
A4GALT,10_Braga_2019_health
TRDC,10_Braga_2019_health
KLF10,10_Braga_2019_health
ULBP2,10_Braga_2019_health
NRN1,10_Braga_2019_health
FMN1,10_Braga_2019_health
CLCF1,10_Braga_2019_health
CMTM2,10_Braga_2019_health
CNRIP1,10_Braga_2019_health
SORL1,10_Braga_2019_health
FAM92A1,10_Braga_2019_health
LCK,10_Braga_2019_health
SIAH2,10_Braga_2019_health
TXLNB,10_Braga_2019_health
PYHIN1,10_Braga_2019_health
RGS5,10_Braga_2019_health
ADAMTSL4,10_Braga_2019_health
IL2RB,10_Braga_2019_health
S1PR5,10_Braga_2019_health
DAPK2,10_Braga_2019_health
DYNLRB2,10_Braga_2019_health
CCL17,11_Braga_2019_health
S100B,11_Braga_2019_health
CCL22,11_Braga_2019_health
MMP9,11_Braga_2019_health
FCER1A,11_Braga_2019_health
MMP12,11_Braga_2019_health
CD1E,11_Braga_2019_health
CD1C,11_Braga_2019_health
CST7,11_Braga_2019_health
CD207,11_Braga_2019_health
IL1R2,11_Braga_2019_health
DNASE1L3,11_Braga_2019_health
PPP1R14A,11_Braga_2019_health
RGS1,11_Braga_2019_health
HLA-DQB2,11_Braga_2019_health
PKIB,11_Braga_2019_health
LGALS2,11_Braga_2019_health
CLEC10A,11_Braga_2019_health
FCGR2B,11_Braga_2019_health
IL4I1,11_Braga_2019_health
MATK,11_Braga_2019_health
HLA-DQA2,11_Braga_2019_health
HLA-DOB,11_Braga_2019_health
TNFRSF4,11_Braga_2019_health
NDRG2,11_Braga_2019_health
C1orf54,11_Braga_2019_health
GPR171,11_Braga_2019_health
CLNK,11_Braga_2019_health
CLEC5A,11_Braga_2019_health
CLDN1,11_Braga_2019_health
GCSAM,11_Braga_2019_health
CLEC4F,11_Braga_2019_health
CTLA4,11_Braga_2019_health
ADAM28,11_Braga_2019_health
TVP23A,11_Braga_2019_health
PLEK2,11_Braga_2019_health
GPR84,11_Braga_2019_health
CCND2,11_Braga_2019_health
ENTPD1,11_Braga_2019_health
CCR2,11_Braga_2019_health
REL,11_Braga_2019_health
GPR82,11_Braga_2019_health
ZEB1,11_Braga_2019_health
HIST1H2BG,11_Braga_2019_health
TLR10,11_Braga_2019_health
SRGAP1,11_Braga_2019_health
P3H2,11_Braga_2019_health
HDAC9,11_Braga_2019_health
PON2,11_Braga_2019_health
MYBL1,11_Braga_2019_health
SUSD3,11_Braga_2019_health
GATM,11_Braga_2019_health
SERPINF2,11_Braga_2019_health
CYP2S1,11_Braga_2019_health
NCKAP5,11_Braga_2019_health
CDK6,11_Braga_2019_health
STAP1,11_Braga_2019_health
IL18R1,11_Braga_2019_health
RASAL1,11_Braga_2019_health
HOMER2,11_Braga_2019_health
C16orf45,11_Braga_2019_health
IRAK2,11_Braga_2019_health
SPECC1,11_Braga_2019_health
GHRL,11_Braga_2019_health
ATP8B4,11_Braga_2019_health
TOX,11_Braga_2019_health
MYEF2,11_Braga_2019_health
TSPAN33,11_Braga_2019_health
BCL2,11_Braga_2019_health
MAP7,11_Braga_2019_health
ARL5B,11_Braga_2019_health
ANK3,11_Braga_2019_health
B3GALNT2,11_Braga_2019_health
FAM60A,11_Braga_2019_health
ST18,11_Braga_2019_health
GPR68,11_Braga_2019_health
AUTS2,11_Braga_2019_health
NRARP,11_Braga_2019_health
FZD1,11_Braga_2019_health
ABCC4,11_Braga_2019_health
PDE8B,11_Braga_2019_health
CD3EAP,11_Braga_2019_health
SOX9,11_Braga_2019_health
SNCAIP,11_Braga_2019_health
FAM149A,11_Braga_2019_health
CAMP,12_Braga_2019_health
TOP2A,12_Braga_2019_health
MKI67,12_Braga_2019_health
CENPF,12_Braga_2019_health
HIST1H4C,12_Braga_2019_health
ASPM,12_Braga_2019_health
TPX2,12_Braga_2019_health
TYMS,12_Braga_2019_health
MYBL2,12_Braga_2019_health
UBE2C,12_Braga_2019_health
PRC1,12_Braga_2019_health
PTTG1,12_Braga_2019_health
CDKN2A,12_Braga_2019_health
NUSAP1,12_Braga_2019_health
GGH,12_Braga_2019_health
CENPE,12_Braga_2019_health
CEP55,12_Braga_2019_health
NCAPG,12_Braga_2019_health
TMEM37,12_Braga_2019_health
KIF14,12_Braga_2019_health
CKAP2L,12_Braga_2019_health
CDKN2C,12_Braga_2019_health
SMC4,12_Braga_2019_health
AIFM2,12_Braga_2019_health
CCNB1,12_Braga_2019_health
CHST2,12_Braga_2019_health
ATAD2,12_Braga_2019_health
SMC2,12_Braga_2019_health
CENPU,12_Braga_2019_health
AURKA,12_Braga_2019_health
KIF20B,12_Braga_2019_health
SHCBP1,12_Braga_2019_health
KIF11,12_Braga_2019_health
ZBTB7C,12_Braga_2019_health
CCDC34,12_Braga_2019_health
CENPM,12_Braga_2019_health
BRCA1,12_Braga_2019_health
TMEM106C,12_Braga_2019_health
LINC01588,12_Braga_2019_health
NPFFR1,12_Braga_2019_health
ESCO2,12_Braga_2019_health
LRRCC1,12_Braga_2019_health
CENPH,12_Braga_2019_health
RACGAP1,12_Braga_2019_health
LSMEM1,12_Braga_2019_health
ARG2,12_Braga_2019_health
PRR11,12_Braga_2019_health
FANCI,12_Braga_2019_health
RRM1,12_Braga_2019_health
LAT,12_Braga_2019_health
LTBP2,12_Braga_2019_health
INPP5F,12_Braga_2019_health
BLM,12_Braga_2019_health
RNASEH2A,12_Braga_2019_health
CCNF,12_Braga_2019_health
GEMIN5,12_Braga_2019_health
NCAPG2,12_Braga_2019_health
CCDC28B,12_Braga_2019_health
SYCE1L,12_Braga_2019_health
SPDL1,12_Braga_2019_health
UCK2,12_Braga_2019_health
SPAG5,12_Braga_2019_health
CLDN12,12_Braga_2019_health
RTN4R,12_Braga_2019_health
FANCD2,12_Braga_2019_health
ARHGEF39,12_Braga_2019_health
HECW2,12_Braga_2019_health
MARCKSL1,13_Braga_2019_health
PTX3,13_Braga_2019_health
ISG20,13_Braga_2019_health
TNFSF10,13_Braga_2019_health
CRABP2,13_Braga_2019_health
CFP,13_Braga_2019_health
VAMP5,13_Braga_2019_health
CKB,13_Braga_2019_health
IFITM3,13_Braga_2019_health
SIGLEC10,13_Braga_2019_health
CORO1A,13_Braga_2019_health
CD48,13_Braga_2019_health
LILRA1,13_Braga_2019_health
